Page,Town_or_City,SHI_Total,Census_2010_Housing_Units,Percent_Subsidized
1,Abington,485,"6,364",0.08
5,Acton,569,"8,475",0.07
6,Acushnet,97,"4,097",0.02
7,Adams,321,"4,337",0.07
8,Agawam,556,"12,090",0.05
9,Alford,0,231,0.00
13,Amesbury,738,"7,041",0.10
16,Amherst,"1,083","9,621",0.11
19,Andover,"1,638","12,324",0.13
20,Aquinnah,41,158,0.26
25,Arlington,"1,121","19,881",0.06
26,Ashburnham,29,"2,272",0.01
27,Ashby,0,"1,150",0.00
28,Ashfield,2,793,0.00
30,Ashland,450,"6,581",0.07
35,Athol,310,"5,148",0.06
37,Attleboro,"1,155","17,978",0.06
38,Auburn,251,"6,808",0.04
39,Avon,70,"1,763",0.04
45,Ayer,299,"3,440",0.09
64,Barnstable,"1,508","20,550",0.07
65,Barre,83,"2,164",0.04
66,Becket,0,838,0.00
68,Bedford,974,"5,322",0.18
70,Belchertown,397,"5,771",0.07
71,Bellingham,551,"6,341",0.09
72,Belmont,365,"10,117",0.04
73,Berkley,24,"2,169",0.01
74,Berlin,119,"1,183",0.10
75,Bernardston,24,930,0.03
81,Beverly,"1,919","16,522",0.12
84,Billerica,"1,458","14,442",0.10
85,Blackstone,123,"3,606",0.03
86,Blandford,1,516,0.00
87,Bolton,62,"1,729",0.04
88,Boston,"51,283","269,482",0.19
92,Bourne,705,"8,584",0.08
93,Boxborough,268,"2,062",0.13
94,Boxford,31,"2,730",0.01
95,Boylston,26,"1,765",0.01
97,Braintree,"1,369","14,260",0.10
99,Brewster,292,"4,803",0.06
101,Bridgewater,912,"8,288",0.11
103,Brimfield,71,"1,491",0.05
107,Brockton,"4,619","35,514",0.13
108,Brookfield,19,"1,452",0.01
114,Brookline,"2,587","26,201",0.10
115,Buckland,3,866,0.00
116,Burlington,"1,283","9,627",0.13
132,Cambridge,"6,911","46,690",0.15
134,Canton,"1,090","8,710",0.13
135,Carlisle,55,"1,740",0.03
137,Carver,146,"4,514",0.03
138,Charlemont,3,615,0.00
139,Charlton,83,"4,774",0.02
141,Chatham,180,"3,460",0.05
144,Chelmsford,"1,443","13,741",0.11
149,Chelsea,"2,428","12,592",0.19
150,Cheshire,0,"1,481",0.00
152,Chester,13,585,0.02
153,Chesterfield,17,524,0.03
158,Chicopee,"2,601","25,074",0.10
159,Chilmark,3,418,0.01
160,Clarksburg,9,706,0.01
161,Clinton,547,"6,375",0.09
162,Cohasset,311,"2,898",0.11
163,Colrain,0,731,0.00
167,Concord,721,"6,852",0.11
168,Conway,0,803,0.00
169,Cummington,16,426,0.04
170,Dalton,159,"2,860",0.06
173,Danvers,"1,149","11,071",0.10
178,Dartmouth,"1,020","11,775",0.09
180,Dedham,"1,119","10,115",0.11
181,Deerfield,33,"2,154",0.02
186,Dennis,402,"7,653",0.05
187,Dighton,144,"2,568",0.06
188,Douglas,140,"3,147",0.04
189,Dover,18,"1,950",0.01
191,Dracut,585,"11,318",0.05
192,Dudley,104,"4,360",0.02
193,Dunstable,0,"1,085",0.00
194,Duxbury,410,"5,532",0.07
195,East Bridgewater,176,"4,897",0.04
196,East Brookfield,0,888,0.00
197,East Longmeadow,445,"6,072",0.07
199,Eastham,54,"2,632",0.02
202,Easthampton,522,"7,567",0.07
204,Easton,787,"8,105",0.10
206,Edgartown,89,"1,962",0.05
207,Egremont,0,596,0.00
208,Erving,0,778,0.00
209,Essex,40,"1,477",0.03
211,Everett,"1,061","16,691",0.06
212,Fairhaven,486,"7,003",0.07
220,Fall River,"4,751","42,650",0.11
225,Falmouth,987,"14,870",0.07
231,Fitchburg,"1,486","17,058",0.09
232,Florida,0,335,0.00
234,Foxborough,865,"6,853",0.13
239,Framingham,"2,857","27,443",0.10
243,Franklin,"1,352","11,350",0.12
244,Freetown,86,"3,263",0.03
247,Gardner,"1,356","9,064",0.15
248,Georgetown,352,"3,031",0.12
249,Gill,24,591,0.04
255,Gloucester,978,"13,270",0.07
256,Goshen,5,440,0.01
257,Gosnold,0,41,0.00
259,Grafton,371,"7,160",0.05
260,Granby,67,"2,451",0.03
261,Granville,0,630,0.00
263,Great Barrington,306,"3,072",0.10
266,Greenfield,"1,156","8,325",0.14
268,Groton,221,"3,930",0.06
269,Groveland,80,"2,423",0.03
270,Hadley,264,"2,200",0.12
271,Halifax,28,"2,971",0.01
272,Hamilton,84,"2,783",0.03
273,Hampden,60,"1,941",0.03
274,Hancock,0,326,0.00
275,Hanover,575,"4,832",0.12
276,Hanson,157,"3,572",0.04
277,Hardwick,8,"1,185",0.01
279,Harvard,113,"1,982",0.06
283,Harwich,335,"6,121",0.05
284,Hatfield,52,"1,549",0.03
290,Haverhill,"2,555","25,557",0.10
291,Hawley,0,137,0.00
292,Heath,0,334,0.00
294,Hingham,"1,005","8,841",0.11
295,Hinsdale,0,918,0.00
297,Holbrook,440,"4,262",0.10
298,Holden,407,"6,624",0.06
300,Holland,13,"1,051",0.01
302,Holliston,242,"5,077",0.05
316,Holyoke,"3,244","16,320",0.20
317,Hopedale,119,"2,278",0.05
320,Hopkinton,724,"5,087",0.14
321,Hubbardston,49,"1,627",0.03
324,Hudson,892,"7,962",0.11
325,Hull,84,"4,964",0.02
327,Huntington,44,919,0.05
330,Ipswich,513,"5,735",0.09
332,Kingston,204,"4,881",0.04
333,Lakeville,274,"3,852",0.07
334,Lancaster,140,"2,544",0.06
335,Lanesborough,28,"1,365",0.02
341,Lawrence,"4,057","27,092",0.15
342,Lee,176,"2,702",0.07
343,Leicester,176,"4,231",0.04
344,Lenox,178,"2,473",0.07
347,Leominster,"1,456","17,805",0.08
348,Leverett,2,792,0.00
351,Lexington,"1,327","11,946",0.11
352,Leyden,0,300,0.00
353,Lincoln,298,"2,130",0.14
355,Littleton,444,"3,443",0.13
356,Longmeadow,272,"5,874",0.05
363,Lowell,"5,162","41,308",0.13
364,Ludlow,293,"8,337",0.04
365,Lunenburg,195,"4,037",0.05
370,Lynn,"4,435","35,701",0.12
371,Lynnfield,495,"4,319",0.11
375,Malden,"2,542","25,122",0.10
376,Manchester,115,"2,275",0.05
378,Mansfield,939,"8,725",0.11
379,Marblehead,333,"8,528",0.04
380,Marion,156,"2,014",0.08
383,Marlborough,"1,866","16,347",0.11
388,Marshfield,821,"9,852",0.08
391,Mashpee,337,"6,473",0.05
392,Mattapoisett,70,"2,626",0.03
393,Maynard,379,"4,430",0.09
394,Medfield,328,"4,220",0.08
397,Medford,"1,672","23,968",0.07
399,Medway,376,"4,603",0.08
402,Melrose,936,"11,714",0.08
403,Mendon,40,"2,072",0.02
404,Merrimac,141,"2,527",0.06
411,Methuen,"1,682","18,268",0.09
414,Middleborough,589,"8,921",0.07
415,Middlefield,2,230,0.01
416,Middleton,151,"3,011",0.05
418,Milford,972,"11,379",0.09
419,Millbury,221,"5,592",0.04
420,Millis,118,"3,148",0.04
421,Millville,26,"1,157",0.02
423,Milton,481,"9,641",0.05
424,Monroe,0,64,0.00
426,Monson,138,"3,406",0.04
428,Montague,376,"3,926",0.10
429,Monterey,0,465,0.00
430,Montgomery,0,337,0.00
431,Mount Washington,0,80,0.00
432,Nahant,48,"1,612",0.03
434,Nantucket,132,"4,896",0.03
437,Natick,"1,477","14,052",0.11
440,Needham,"1,399","11,047",0.13
441,New Ashford,0,104,0.00
449,New Bedford,"5,110","42,816",0.12
450,New Braintree,0,386,0.00
451,New Marlborough,0,692,0.00
452,New Salem,0,433,0.00
453,Newbury,94,"2,699",0.03
460,Newburyport,599,"8,015",0.07
468,Newton,"2,416","32,346",0.07
471,Norfolk,150,"3,112",0.05
473,North Adams,866,"6,681",0.13
475,North Andover,931,"10,902",0.09
476,North Attleborough,294,"11,553",0.03
477,North Brookfield,142,"2,014",0.07
478,North Reading,540,"5,597",0.10
482,Northampton,"1,376","12,604",0.11
484,Northborough,601,"5,297",0.11
487,Northbridge,453,"6,144",0.07
488,Northfield,27,"1,290",0.02
490,Norton,595,"6,707",0.09
492,Norwell,297,"3,652",0.08
494,Norwood,"1,228","12,441",0.10
497,Oak Bluffs,146,"2,138",0.07
498,Oakham,0,702,0.00
499,Orange,405,"3,461",0.12
501,Orleans,304,"3,290",0.09
502,Otis,0,763,0.00
503,Oxford,404,"5,520",0.07
504,Palmer,269,"5,495",0.05
505,Paxton,62,"1,590",0.04
519,Peabody,"2,052","22,135",0.09
520,Pelham,0,564,0.00
522,Pembroke,616,"6,477",0.10
523,Pepperell,130,"4,335",0.03
524,Peru,0,354,0.00
525,Petersham,0,525,0.00
526,Phillipston,8,658,0.01
537,Pittsfield,"1,936","21,031",0.09
538,Plainfield,0,283,0.00
539,Plainville,572,"3,459",0.17
541,Plymouth,711,"22,285",0.03
542,Plympton,51,"1,039",0.05
543,Princeton,26,"1,324",0.02
546,Provincetown,208,"2,122",0.10
552,Quincy,"4,088","42,547",0.10
554,Randolph,"1,280","11,980",0.11
556,Raynham,489,"5,052",0.10
559,Reading,"1,004","9,584",0.10
560,Rehoboth,27,"4,252",0.01
565,Revere,"1,779","21,956",0.08
566,Richmond,4,706,0.01
567,Rochester,8,"1,865",0.00
569,Rockland,450,"7,030",0.06
570,Rockport,135,"3,460",0.04
571,Rowe,0,177,0.00
572,Rowley,94,"2,226",0.04
573,Royalston,3,523,0.01
574,Russell,8,687,0.01
575,Rutland,86,"2,913",0.03
586,Salem,"2,516","18,998",0.13
595,Salisbury,592,"3,842",0.15
596,Sandisfield,0,401,0.00
600,Sandwich,307,"8,183",0.04
603,Saugus,732,"10,754",0.07
604,Savoy,0,318,0.00
606,Scituate,352,"7,163",0.05
607,Seekonk,87,"5,272",0.02
608,Sharon,683,"6,413",0.11
609,Sheffield,30,"1,507",0.02
610,Shelburne,51,893,0.06
611,Sherborn,34,"1,479",0.02
612,Shirley,57,"2,417",0.02
614,Shrewsbury,887,"13,919",0.06
615,Shutesbury,2,758,0.00
616,Somerset,273,"7,335",0.04
624,Somerville,"3,263","33,632",0.10
625,South Hadley,424,"7,091",0.06
626,Southampton,44,"2,310",0.02
628,Southborough,472,"3,433",0.14
629,Southbridge,499,"7,517",0.07
633,Southwick,164,"3,852",0.04
634,Spencer,267,"5,137",0.05
648,Springfield,"10,192","61,556",0.17
649,Sterling,68,"2,918",0.02
650,Stockbridge,113,"1,051",0.11
651,Stoneham,495,"9,399",0.05
654,Stoughton,"1,240","10,742",0.12
655,Stow,185,"2,500",0.07
656,Sturbridge,209,"3,759",0.06
659,Sudbury,669,"5,921",0.11
660,Sunderland,0,"1,718",0.00
661,Sutton,50,"3,324",0.02
662,Swampscott,250,"5,795",0.04
663,Swansea,243,"6,290",0.04
667,Taunton,"1,529","23,844",0.06
670,Templeton,238,"3,014",0.08
673,Tewksbury,"1,048","10,803",0.10
676,Tisbury,109,"1,965",0.06
677,Tolland,0,222,0.00
678,Topsfield,155,"2,157",0.07
680,Townsend,160,"3,356",0.05
681,Truro,28,"1,090",0.03
683,Tyngsborough,465,"4,166",0.11
684,Tyringham,0,149,0.00
685,Upton,178,"2,820",0.06
686,Uxbridge,264,"5,284",0.05
689,Wakefield,759,"10,459",0.07
691,Wales,43,772,0.06
692,Walpole,636,"8,984",0.07
697,Waltham,"1,842","24,805",0.07
700,Ware,387,"4,539",0.09
707,Wareham,764,"9,880",0.08
710,Warren,101,"2,202",0.05
711,Warwick,0,363,0.00
712,Washington,0,235,0.00
716,Watertown,"1,102","15,521",0.07
718,Wayland,317,"4,957",0.06
721,Webster,722,"7,788",0.09
723,Wellesley,615,"9,090",0.07
725,Wellfleet,30,"1,550",0.02
726,Wendell,5,419,0.01
727,Wenham,118,"1,404",0.08
728,West Boylston,223,"2,729",0.08
729,West Bridgewater,121,"2,658",0.05
730,West Brookfield,68,"1,578",0.04
731,West Newbury,39,"1,558",0.03
733,West Springfield,429,"12,629",0.03
734,West Stockbridge,0,645,0.00
736,West Tisbury,23,"1,253",0.02
738,Westborough,971,"7,304",0.13
742,Westfield,"1,158","16,001",0.07
745,Westford,"1,056","7,671",0.14
746,Westhampton,17,635,0.03
747,Westminster,87,"2,826",0.03
749,Weston,169,"3,952",0.04
753,Westport,232,"6,417",0.04
754,Westwood,588,"5,389",0.11
757,Weymouth,"1,771","23,337",0.08
758,Whately,2,654,0.00
759,Whitman,200,"5,513",0.04
760,Wilbraham,305,"5,442",0.06
761,Williamsburg,51,"1,165",0.04
762,Williamstown,201,"2,805",0.07
767,Wilmington,799,"7,788",0.10
769,Winchendon,331,"4,088",0.08
770,Winchester,244,"7,920",0.03
771,Windsor,0,387,0.00
772,Winthrop,638,"8,253",0.08
774,Woburn,"1,411","16,237",0.09
788,Worcester,"9,961","74,383",0.13
789,Worthington,22,553,0.04
790,Wrentham,485,"3,821",0.13
795,Yarmouth,596,"12,037",0.05