,Business Name,Neighborhood,Unnamed: 0,Unnamed: 0.1,brands,bucketed_dwell_times,city,date_range_end,date_range_start,device_type,distance_from_home,location_name,median_dwell,name_lower,placekey,poi_cbg,popularity_by_day,popularity_by_hour,postal_code,raw_visit_counts,raw_visitor_counts,region,related_same_day_brand,related_same_month_brand,safegraph_brand_ids,safegraph_place_id,street_address,visitor_country_of_origin,visitor_daytime_cbgs,visitor_home_cbgs,visitor_work_cbgs,visits_by_day
0,Americano Espresso Bar,East Boston,0.0,973.0,,"{""<5"":8,""5-20"":148,""21-60"":42,""61-240"":23,"">240"":3}",Boston,2020-10-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,"{""android"":93,""ios"":75}",3180.0,Americano Espresso Bar,11.0,americano espresso bar,26d-222@62j-sj7-rzf,250250506001.0,"{""Monday"":28,""Tuesday"":36,""Wednesday"":30,""Thursday"":42,""Friday"":32,""Saturday"":28,""Sunday"":28}","[0,1,2,0,0,1,4,24,1,9,24,23,26,21,23,26,20,18,20,22,9,20,19,8]",2128.0,224.0,173.0,MA,"{""Planet Fitness"":20,""McDonald's"":14,""Pollo Campero"":12,""Crunch"":11,""Hooters"":9,""Hyatt Place"":9}","{""Dunkin'"":45,""Market Basket"":31,""Shaw's"":28,""Stop & Shop"":26,""Starbucks"":25,""McDonald's"":25,""Mobil"":25,""Burger King"":23,""CVS"":21,""Target"":16,""Walgreens"":16,""BJ's Wholesale Club"":16,""Subway"":15,""Dollar Tree"":15,""Marshalls"":14,""The Home Depot"":14,""Speedway"":14,""Sunoco"":14,""Simon mall"":13,""Walmart"":12}",,sg:ba3ab7f62fee4456a178ce2b4daaaa7e,155 Meridian St,"{""US"":167}","{""250250505001"":6,""250250203011"":5,""250250501013"":5,""250251704003"":4,""360110415004"":4,""250173423004"":4,""250251705011"":4,""250092072002"":4,""250173342002"":4,""250092518003"":4,""250251804001"":4,""250251605011"":4,""250173165004"":4,""250250506002"":4,""250173421024"":4,""250250506001"":4,""250250512003"":4,""250251805001"":4,""250250501011"":4,""250251708004"":4,""250092504001"":4,""250251701007"":4,""250250507003"":4,""250250504001"":4,""371190035001"":4,""250250509011"":4,""250214192002"":4,""250250512002"":4,""250250702003"":4,""250173425003"":4,""250250503002"":4,""250251604001"":4,""250251602003"":4,""250250502001"":4,""250251703006"":4,""171978801152"":4,""250251601012"":4}","{""250250505001"":10,""250214561011"":6,""250250501011"":6,""250250507001"":5,""250250502001"":5,""250250512002"":5,""090010427001"":4,""250173165004"":4,""250250504002"":4,""250251606024"":4,""250173425003"":4,""250251104031"":4,""250250509011"":4,""250250510003"":4,""250250510002"":4,""440070110003"":4,""250250506001"":4,""250251707023"":4,""250173423004"":4,""250251704004"":4,""250251708004"":4,""440050401012"":4,""250251602003"":4,""360110416003"":4,""250251707022"":4,""250250507002"":4,""250251606025"":4,""250250507003"":4,""250251703005"":4,""250250512003"":4,""250251801013"":4,""250250503002"":4,""250092055001"":4,""250251708001"":4,""250250501013"":4,""250251601012"":4}",{},"[5,5,18,10,9,11,9,10,5,5,1,5,3,8,9,9,7,12,8,8,5,5,7,12,9,6,6,6,7,4]"
1,Biddy Hair Salon,East Boston,1.0,979.0,,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",Boston,2020-10-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,"{""android"":0,""ios"":0}",,Biddy Hair Salon,814.0,biddy hair salon,23j-222@62j-sj7-rhq,250250502001.0,"{""Monday"":0,""Tuesday"":0,""Wednesday"":1,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":0}","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0]",2128.0,1.0,1.0,MA,{},"{""Crowne Plaza Hotels and Resorts"":100,""Fiesta Mart"":100,""Rutter's Farm Stores"":100,""24 Hour Fitness"":100,""Godfather's Pizza"":100,""TravelCenters of America"":100,""International Trucks"":99,""Papa John's"":99,""Denny's"":99,""CITGO"":99,""Love's Travel Stops and Country Stores"":99,""Planet Fitness"":99,""Chili's Grill & Bar"":99,""Pilot Flying J"":99,""QuikTrip"":99,""Chipotle Mexican Grill"":98,""Wendy's"":95,""Walgreens"":95,""The Home Depot"":95,""Subway"":95}",,sg:034a50053bbf4751b4f5de195c214e02,273 Meridian St,{},"{""482015414001"":4}","{""482015414001"":4}",{},"[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,Cafe Gigu,East Boston,2.0,988.0,,"{""<5"":2,""5-20"":66,""21-60"":25,""61-240"":22,"">240"":5}",Boston,2020-10-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,"{""android"":66,""ios"":30}",4486.0,Cafe Gigu,16.5,cafe gigu,225-223@62j-sj7-3h5,250250503001.0,"{""Monday"":16,""Tuesday"":25,""Wednesday"":15,""Thursday"":14,""Friday"":23,""Saturday"":14,""Sunday"":13}","[10,7,6,5,6,5,7,8,8,7,12,21,19,13,10,9,14,14,17,5,5,9,10,11]",2128.0,120.0,96.0,MA,"{""McDonald's"":46,""Get Air"":33,""Dunkin'"":24,""Market Basket"":17}","{""Dunkin'"":43,""Market Basket"":36,""Mobil"":20,""BJ's Wholesale Club"":19,""Starbucks"":18,""The Home Depot"":18,""CVS"":17,""Target"":16,""Shaw's"":16,""McDonald's"":15,""Speedway"":15,""7-Eleven"":13,""Walgreens"":13,""Planet Fitness"":12,""Burger King"":12,""Marshalls"":12,""Dollar Tree"":12,""Wendy's"":10,""sweetgreen"":9,""Stop & Shop"":9}",,sg:8b1e1784ee514d1bbf25d08847375594,102 Meridian St,"{""US"":86}","{""250251602003"":6,""250250507003"":6,""250250506002"":5,""250250505001"":5,""250277310011"":4,""250173567021"":4,""250173423003"":4,""040210017111"":4,""250251706012"":4,""250250203011"":4,""250251802003"":4,""250251703005"":4,""250251606025"":4,""250250503001"":4,""250251704002"":4,""250251701004"":4,""250251707012"":4,""250250509012"":4}","{""250251803011"":7,""250250503001"":5,""250250511012"":4,""250251706012"":4,""250250502002"":4,""250251102011"":4,""250251605021"":4,""040210017111"":4,""250250507003"":4,""250251704002"":4,""250092057004"":4,""250250509012"":4,""250250501011"":4,""250251703005"":4,""250251606025"":4,""250250506002"":4,""250250507001"":4,""250250505001"":4,""250092067001"":4,""250173423003"":4,""250250918001"":4,""250250501013"":4,""250173422012"":4,""250250501012"":4}",{},"[4,2,5,6,2,2,1,5,5,2,8,5,4,5,8,5,6,6,1,3,8,4,3,1,3,6,4,2,4,0]"
3,chinese dragon,East Boston,3.0,992.0,,"{""<5"":7,""5-20"":70,""21-60"":42,""61-240"":38,"">240"":28}",Boston,2020-10-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,"{""android"":41,""ios"":33}",3722.0,Chinese Dragon,24.0,chinese dragon,22t-222@62j-syg-j5f,250250509011.0,"{""Monday"":15,""Tuesday"":28,""Wednesday"":17,""Thursday"":24,""Friday"":36,""Saturday"":34,""Sunday"":31}","[24,26,21,15,12,12,13,13,20,33,35,34,29,27,27,22,20,22,29,24,21,29,30,30]",2128.0,185.0,76.0,MA,"{""IHOP"":50,""Target"":32,""Taco Bell"":24,""7-Eleven"":16}","{""Dunkin'"":43,""Market Basket"":42,""McDonald's"":25,""Mobil"":24,""Starbucks"":22,""Stop & Shop"":21,""Planet Fitness"":20,""CVS"":19,""7-Eleven"":19,""The Home Depot"":17,""Target"":17,""Simon mall"":17,""sweetgreen"":13,""Subway"":13,""Burger King"":13,""T.J. Maxx"":12,""Dick's Sporting Goods"":12,""Walgreens"":12,""Walmart"":11,""Sunoco"":11}",,sg:51040e76fd124501b785fe088c966c2d,380 Chelsea St,"{""US"":70}","{""250251604001"":7,""250092661005"":6,""250250907003"":6,""250251702004"":5,""250250502001"":5,""250250503001"":4,""250173425003"":4,""250251708004"":4,""250250507002"":4,""250092021022"":4,""250250606001"":4,""250092081013"":4,""250250106001"":4,""250251805004"":4,""250250502003"":4,""250251601015"":4,""250251706013"":4,""250214196004"":4,""250173424004"":4,""250173341001"":4}","{""250250509011"":9,""250250501011"":5,""250250502003"":4,""250251401071"":4,""250250505001"":4,""250251706013"":4,""250251708004"":4,""250173514031"":4,""250251702004"":4}",{},"[4,6,4,14,8,8,4,6,2,8,10,6,12,5,9,4,5,5,10,5,3,5,3,7,7,10,6,3,4,2]"
4,House of Nails,East Boston,4.0,1020.0,,"{""<5"":1,""5-20"":11,""21-60"":1,""61-240"":1,"">240"":0}",Boston,2020-10-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,"{""android"":5,""ios"":4}",3002.0,House of Nails,7.5,house of nails,23n-222@62j-syg-xh5,250250511011.0,"{""Monday"":4,""Tuesday"":5,""Wednesday"":3,""Thursday"":0,""Friday"":0,""Saturday"":1,""Sunday"":1}","[0,0,0,0,0,4,3,1,0,0,1,0,0,1,2,0,1,1,1,0,1,1,0,0]",2128.0,14.0,12.0,MA,"{""Starbucks"":48}","{""Dunkin'"":55,""Starbucks"":43,""Stop & Shop"":25,""Marshalls"":24,""Walmart"":23,""Burger King"":21,""CVS"":21,""Dollar Tree"":20,""Shaw's"":17,""YMCA"":16,""Burlington"":16,""Toyota"":16,""BJ's Wholesale Club"":16,""Mobil"":15,""Target"":10,""Boston Sports Clubs"":8,""Primark Stores EU"":8,""avid hotels"":8,""Fidelity"":8,""MidiCi Neopolitan Pizza"":8}",,sg:acceb69f66bb485d94d63dbdbb3f77aa,1020 Bennington St,"{""US"":10}","{""250251708002"":4,""250250503001"":4}","{""250250510001"":4,""250250511012"":4}",{},"[2,0,0,0,0,0,0,1,1,0,0,1,1,0,1,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0]"
5,Italian express pizzeria,East Boston,5.0,1022.0,,"{""<5"":0,""5-20"":16,""21-60"":19,""61-240"":29,"">240"":13}",Boston,2020-10-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,"{""android"":27,""ios"":20}",7976.0,Italian Express Pizzeria,119.0,italian express pizzeria,25r-222@62j-sj6-nwk,250250504002.0,"{""Monday"":11,""Tuesday"":17,""Wednesday"":10,""Thursday"":10,""Friday"":16,""Saturday"":12,""Sunday"":1}","[12,10,10,10,10,11,13,13,14,13,11,12,9,8,9,7,6,8,11,11,29,33,32,30]",2128.0,77.0,47.0,MA,"{""Aloft Hotels"":50,""Dunkin'"":49,""BJ's Wholesale Club"":25}","{""Dunkin'"":33,""Market Basket"":21,""Shaw's"":17,""Stop & Shop"":17,""Walmart"":15,""Mobil"":15,""7-Eleven"":15,""Burger King"":15,""CVS"":15,""The Home Depot"":14,""T.J. Maxx"":13,""McDonald's"":12,""Starbucks"":12,""Sunoco"":11,""BJ's Wholesale Club"":10,""Simon mall"":9,""sweetgreen"":8,""Target"":8,""Marshalls"":8,""Subway"":7}",,sg:1071f84255b64f56b21d234ec93b6e1b,336 Sumner St,"{""US"":40}","{""250277581022"":5,""250250502004"":5,""250214202021"":4,""250250512002"":4,""250250505001"":4,""330110028004"":4,""250092092001"":4}","{""330130310013"":5,""250250502004"":4,""250250512002"":4,""250250505001"":4,""250092091001"":4,""330151002003"":4,""391230505001"":4,""250250408013"":4}",{},"[4,2,1,5,4,0,4,3,3,2,3,4,0,2,3,1,4,3,2,0,3,3,2,3,5,2,1,2,4,2]"
6,La Chiva Restaurant,East Boston,6.0,1030.0,,"{""<5"":5,""5-20"":150,""21-60"":41,""61-240"":23,"">240"":54}",Boston,2020-10-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,"{""android"":92,""ios"":50}",3624.0,La Chiva Restaurant,16.0,la chiva restaurant,22t-222@62j-sj7-td9,250250502004.0,"{""Monday"":34,""Tuesday"":45,""Wednesday"":49,""Thursday"":31,""Friday"":35,""Saturday"":38,""Sunday"":41}","[32,31,28,25,26,42,45,53,57,52,49,57,65,60,55,50,42,31,26,26,31,31,32,31]",2128.0,273.0,146.0,MA,"{""BP"":16,""CVS"":6}","{""Dunkin'"":45,""Market Basket"":32,""Mobil"":32,""Walgreens"":21,""McDonald's"":21,""Burger King"":20,""The Home Depot"":18,""Simon mall"":17,""CVS"":17,""Stop & Shop"":17,""Target"":17,""BJ's Wholesale Club"":17,""Subway"":16,""Starbucks"":16,""Dollar Tree"":16,""Dick's Sporting Goods"":15,""Shaw's"":15,""Wendy's"":14,""Speedway"":12,""7-Eleven"":12}",,sg:c67877c51f64478188edad8a68fc7f3e,259 Bennington St,"{""US"":135}","{""250250001001"":6,""250251606011"":5,""250250921014"":4,""250250510003"":4,""250250606001"":4,""250250511011"":4,""250250505001"":4,""250173704002"":4,""250214192002"":4,""250251703003"":4,""250173631044"":4,""250251304022"":4,""250250502004"":4,""250173613004"":4,""250251706013"":4,""250092521013"":4,""250250502001"":4,""250251605011"":4,""250250704021"":4,""250214035001"":4,""330150600001"":4,""250250303003"":4,""250251601013"":4,""250173422012"":4,""250250507003"":4,""250250506002"":4,""250138011011"":4,""250251606012"":4,""250250509012"":4,""250250511012"":4,""340230012001"":4}","{""250250507003"":9,""250250509012"":7,""250173425003"":6,""250173422012"":4,""250251606011"":4,""250250921014"":4,""250173114001"":4,""250250507001"":4,""250250509013"":4,""250250510001"":4,""250251606021"":4,""250092053004"":4,""250251605011"":4,""250251801013"":4,""330150610013"":4,""250173424002"":4,""250259813002"":4,""250250511011"":4,""250251707025"":4,""250250503001"":4,""250250511012"":4,""250250509011"":4,""250251703005"":4,""440070182001"":4,""250250502004"":4,""250173421014"":4,""250251705011"":4,""250251702002"":4}",{},"[8,10,11,10,8,6,12,14,6,5,10,10,16,6,7,9,6,5,12,11,6,9,14,9,10,8,8,10,7,10]"
7,Little Asia Restaurant,East Boston,7.0,1038.0,,"{""<5"":3,""5-20"":40,""21-60"":32,""61-240"":31,"">240"":28}",Boston,2020-10-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,"{""android"":35,""ios"":31}",2360.0,Little Asia Restaurant,42.5,little asia restaurant,234-222@62j-syg-v4v,250250511011.0,"{""Monday"":11,""Tuesday"":15,""Wednesday"":26,""Thursday"":20,""Friday"":18,""Saturday"":28,""Sunday"":16}","[14,14,14,14,14,14,13,15,14,17,18,18,19,19,24,29,33,27,32,30,21,21,20,13]",2128.0,134.0,68.0,MA,"{""Blue Bottle Coffee"":17,""Dodge"":16,""CVS"":16,""Five Below"":12}","{""Dunkin'"":47,""CVS"":34,""Stop & Shop"":29,""Mobil"":27,""Starbucks"":22,""Target"":21,""Market Basket"":20,""Dollar Tree"":16,""Shaw's"":13,""McDonald's"":13,""BJ's Wholesale Club"":13,""The Home Depot"":12,""Subway"":12,""Five Below"":12,""Wendy's"":11,""7-Eleven"":11,""Marshalls"":11,""Simon mall"":10,""Planet Fitness"":9,""Sunoco"":8}",,sg:c6815256d0c348ac84c9da5467e88b7c,991 Bennington St,"{""US"":60}","{""250173419025"":5,""250250510001"":5,""440070124021"":4,""330110010003"":4,""250251802004"":4,""250251802001"":4,""250251708001"":4,""250251106072"":4,""250251802002"":4,""250214176023"":4,""250250502004"":4,""131350507184"":4,""250251601013"":4,""250173505001"":4,""250250511013"":4,""250173412005"":4,""250173391004"":4}","{""250250502004"":6,""250251802004"":4,""250251805003"":4,""250250510001"":4,""250251802001"":4,""250250503002"":4,""250251802002"":4,""250251708001"":4,""250250511011"":4,""250250501013"":4}",{},"[2,10,4,11,7,6,3,6,4,5,3,12,1,4,4,3,3,2,5,6,3,2,7,8,2,4,3,1,1,2]"
